"","Player","Overs","Mdns","Runs","Wkts","Econ","Inns","","Opposition","Ground","Start Date","","Country","Date","Year","Day","Month","Yday","BPO","type"
"166","CB Mpofu (ZIM)",5,1,24,"3","4.80","2","","v Afghanistan","Harare","21 Feb 2017","","ZIM",2017-02-21,2017,21,2,52,6,"ODI"
"167","Karim Janat (AFG)",3,0,24,"3","8.00","2","","v Ireland","Greater Noida","10 Mar 2017","","AFG",2017-03-10,2017,10,3,69,6,"T20I"
"168","RA Jadeja (INDIA)",18,7,24,"3","1.33","3","","v Australia","Dharamsala","25 Mar 2017","","INDIA",2017-03-25,2017,25,3,84,6,"Test"
"169","Shakib Al Hasan (BDESH)",4,0,24,"3","6.00","2","","v Sri Lanka","Colombo (RPS)","6 Apr 2017","","BDESH",2017-04-06,2017,6,4,96,6,"T20I"
"170","Mohammad Naveed (UAE)",3,0,24,"3","8.00","1","","v P.N.G.","Abu Dhabi","12 Apr 2017","","UAE",2017-04-12,2017,12,4,102,6,"T20I"
"171","Hasan Ali (PAK)",8,1,24,"3","3.00","1","","v South Africa","Birmingham","7 Jun 2017","","PAK",2017-06-07,2017,7,6,158,6,"ODI"
"172","VD Philander (SA)",10,3,24,"3","2.40","4","","v England","Nottingham","14 Jul 2017","","SA",2017-07-14,2017,14,7,195,6,"Test"
"173","Rashid Khan (AFG)",7.1,0,25,"3","3.48","2","","v Zimbabwe","Harare","19 Feb 2017","","AFG",2017-02-19,2017,19,2,50,6,"ODI"
"174","A Zampa (AUS)",4,0,25,"3","6.25","2","","v Sri Lanka","Adelaide","22 Feb 2017","","AUS",2017-02-22,2017,22,2,53,6,"T20I"
"175","CB Mpofu (ZIM)",7.5,2,25,"3","3.19","1","","v Afghanistan","Harare","24 Feb 2017","","ZIM",2017-02-24,2017,24,2,55,6,"ODI"
"176","K Rabada (SA)",7.1,1,25,"3","3.48","1","","v New Zealand","Auckland","4 Mar 2017","","SA",2017-03-04,2017,4,3,63,6,"ODI"
"177","KA Maharaj (SA)",6.1,0,25,"3","4.05","1","","v England","Lord's","29 May 2017","","SA",2017-05-29,2017,29,5,149,6,"ODI"
"178","JM Anderson (ENG)",13,6,25,"3","1.92","2","","v South Africa","The Oval","27 Jul 2017","","ENG",2017-07-27,2017,27,7,208,6,"Test"
"179","Imran Tahir (SA)",10,0,26,"3","2.60","1","","v Sri Lanka","Port Elizabeth","28 Jan 2017","","SA",2017-01-28,2017,28,1,28,6,"ODI"
"180","Rashid Khan (AFG)",10,1,26,"3","2.60","2","","v West Indies","Gros Islet","11 Jun 2017","","AFG",2017-06-11,2017,11,6,162,6,"ODI"
"181","GH Dockrell (IRE)",10,1,27,"3","2.70","2","","v U.A.E.","ICCA Dubai","2 Mar 2017","","IRE",2017-03-02,2017,2,3,61,6,"ODI"
"182","LE Plunkett (ENG)",8,2,27,"3","3.37","2","","v West Indies","Bridgetown","9 Mar 2017","","ENG",2017-03-09,2017,9,3,68,6,"ODI"
"183","VD Philander (SA)",14,5,28,"3","2.00","2","","v Sri Lanka","Johannesburg","12 Jan 2017","","SA",2017-01-12,2017,12,1,12,6,"Test"
"184","GH Dockrell (IRE)",3.1,0,28,"3","8.84","2","","v Scotland","Dubai (DSC)","20 Jan 2017","","IRE",2017-01-20,2017,20,1,20,6,"T20I"
"185","A Nehra (INDIA)",4,0,28,"3","7.00","2","","v England","Nagpur","29 Jan 2017","","INDIA",2017-01-29,2017,29,1,29,6,"T20I"
"186","Rashid Khan (AFG)",4,0,28,"3","7.00","2","","v Ireland","Greater Noida","12 Mar 2017","","AFG",2017-03-12,2017,12,3,71,6,"T20I"
"187","R Ashwin (INDIA)",10,1,28,"3","2.80","2","","v West Indies","North Sound","30 Jun 2017","","INDIA",2017-06-30,2017,30,6,181,6,"ODI"
"188","JR Hazlewood (AUS)",18.2,7,29,"3","1.58","4","","v Pakistan","Sydney","3 Jan 2017","","AUS",2017-01-03,2017,3,1,3,6,"Test"
"189","Zahoor Khan (UAE)",4.5,0,29,"3","6.00","1","","v Hong Kong","Dubai (DSC)","26 Jan 2017","","UAE",2017-01-26,2017,26,1,26,6,"ODI"
"190","Rashid Khan (AFG)",5.4,0,29,"3","5.11","1","","v Zimbabwe","Harare","21 Feb 2017","","AFG",2017-02-21,2017,21,2,52,6,"ODI"
"191","UT Yadav (INDIA)",10,3,29,"3","2.90","3","","v Australia","Dharamsala","25 Mar 2017","","INDIA",2017-03-25,2017,25,3,84,6,"Test"
"192","R Ashwin (INDIA)",13.5,4,29,"3","2.09","3","","v Australia","Dharamsala","25 Mar 2017","","INDIA",2017-03-25,2017,25,3,84,6,"Test"
"193","Ehsan Khan (HKG)",10,2,30,"3","3.00","2","","v U.A.E.","Dubai (DSC)","26 Jan 2017","","HKG",2017-01-26,2017,26,1,26,6,"ODI"
"194","TL Chatara (ZIM)",10,0,30,"3","3.00","2","","v Afghanistan","Harare","21 Feb 2017","","ZIM",2017-02-21,2017,21,2,52,6,"ODI"
"195","Ahmed Raza (UAE)",9,2,30,"3","3.33","2","","v P.N.G.","Abu Dhabi","31 Mar 2017","","UAE",2017-03-31,2017,31,3,90,6,"ODI"
"196","A Vala (PNG)",10,0,30,"3","3.00","1","","v U.A.E.","Abu Dhabi","4 Apr 2017","","PNG",2017-04-04,2017,4,4,94,6,"ODI"
"197","UT Yadav (INDIA)",7.4,1,30,"3","3.91","2","","v Pakistan","Birmingham","4 Jun 2017","","INDIA",2017-06-04,2017,4,6,155,6,"ODI"
"198","Rubel Hossain (BDESH)",4,0,31,"3","7.75","1","","v New Zealand","Mount Maunganui","8 Jan 2017","","BDESH",2017-01-08,2017,8,1,8,6,"T20I"
"199","HK Bennett (NZ)",10,1,31,"3","3.10","1","","v Bangladesh","Dublin","17 May 2017","","NZ",2017-05-17,2017,17,5,137,6,"ODI"
"200","CJ Jordan (ENG)",4,0,31,"3","7.75","2","","v South Africa","Cardiff","25 Jun 2017","","ENG",2017-06-25,2017,25,6,176,6,"T20I"
"201","LH Ferguson (NZ)",4,0,32,"3","8.00","1","","v Bangladesh","Napier","3 Jan 2017","","NZ",2017-01-03,2017,3,1,3,6,"T20I"
"202","JR Hazlewood (AUS)",10,0,32,"3","3.20","1","","v Pakistan","Perth","19 Jan 2017","","AUS",2017-01-19,2017,19,1,19,6,"ODI"
"203","LE Plunkett (ENG)",7.5,1,32,"3","4.08","1","","v West Indies","North Sound","5 Mar 2017","","ENG",2017-03-05,2017,5,3,64,6,"ODI"
"204","PJ Cummins (AUS)",8.4,0,33,"3","3.80","2","","v Pakistan","Brisbane","13 Jan 2017","","AUS",2017-01-13,2017,13,1,13,6,"ODI"
"205","SM Sharif (SCOT)",4,0,33,"3","8.25","1","","v Oman","Dubai (DSC)","19 Jan 2017","","SCOT",2017-01-19,2017,19,1,19,6,"T20I"
"206","Hasan Ali (PAK)",20,7,33,"3","1.65","4","","v West Indies","Roseau","10 May 2017","","PAK",2017-05-10,2017,10,5,130,6,"Test"
"207","PKD Chase (IRE)",6,0,33,"3","5.50","1","","v Bangladesh","Dublin (Malahide)","12 May 2017","","IRE",2017-05-12,2017,12,5,132,6,"ODI"
"208","TK Curran (ENG)",4,0,33,"3","8.25","1","","v South Africa","Taunton","23 Jun 2017","","ENG",2017-06-23,2017,23,6,174,6,"T20I"
"209","AR Nurse (WI)",10,0,34,"3","3.40","2","","v England","North Sound","5 Mar 2017","","WI",2017-03-05,2017,5,3,64,6,"ODI"
"210","SL Malinga (SL)",4,0,34,"3","8.50","1","","v Bangladesh","Colombo (RPS)","6 Apr 2017","","SL",2017-04-06,2017,6,4,96,6,"T20I"
"211","KOK Williams (WI)",4,0,34,"3","8.50","1","","v Afghanistan","Basseterre","5 Jun 2017","","WI",2017-06-05,2017,5,6,156,6,"T20I"
"212","Fareed Ahmad (AFG)",4,0,35,"3","8.75","1","","v Oman","Dubai (DSC)","20 Jan 2017","","AFG",2017-01-20,2017,20,1,20,6,"T20I"
"213","N Vanua (PNG)",4,0,35,"3","8.75","2","","v U.A.E.","Abu Dhabi","14 Apr 2017","","PNG",2017-04-14,2017,14,4,104,6,"T20I"
"214","Hasan Ali (PAK)",10,0,35,"3","3.50","1","","v England","Cardiff","14 Jun 2017","","PAK",2017-06-14,2017,14,6,165,6,"ODI"
"215","IS Sodhi (NZ)",4,0,36,"3","9.00","2","","v Bangladesh","Mount Maunganui","6 Jan 2017","","NZ",2017-01-06,2017,6,1,6,6,"T20I"
"216","Imran Haider (UAE)",10,0,36,"3","3.60","1","","v Scotland","Dubai (DSC)","24 Jan 2017","","UAE",2017-01-24,2017,24,1,24,6,"ODI"
"217","TL Chatara (ZIM)",10,2,36,"3","3.60","1","","v Afghanistan","Harare","19 Feb 2017","","ZIM",2017-02-19,2017,19,2,50,6,"ODI"
"218","MJ Henry (NZ)",8,1,36,"3","4.50","2","","v Ireland","Dublin (Malahide)","21 May 2017","","NZ",2017-05-21,2017,21,5,141,6,"ODI"
"219","CB Sole (SCOT)",9,1,36,"3","4.00","2","","v Zimbabwe","Edinburgh","17 Jun 2017","","SCOT",2017-06-17,2017,17,6,168,6,"ODI"
"220","UT Yadav (INDIA)",10,1,36,"3","3.60","1","","v West Indies","North Sound","2 Jul 2017","","INDIA",2017-07-02,2017,2,7,183,6,"ODI"
"221","Rubel Hossain (BDESH)",4,0,37,"3","9.25","1","","v New Zealand","Mount Maunganui","6 Jan 2017","","BDESH",2017-01-06,2017,6,1,6,6,"T20I"
"222","AJ Tye (AUS)",4,0,37,"3","9.25","2","","v Sri Lanka","Geelong","19 Feb 2017","","AUS",2017-02-19,2017,19,2,50,6,"T20I"
"223","CR Brathwaite (WI)",4,0,37,"3","9.25","1","","v Pakistan","Port of Spain","30 Mar 2017","","WI",2017-03-30,2017,30,3,89,6,"T20I"
"224","D Olivier (SA)",9,2,38,"3","4.22","3","","v Sri Lanka","Johannesburg","12 Jan 2017","","SA",2017-01-12,2017,12,1,12,6,"Test"
"225","Mohammad Nabi (AFG)",9,0,38,"3","4.22","2","","v Zimbabwe","Harare","19 Feb 2017","","AFG",2017-02-19,2017,19,2,50,6,"ODI"
"226","Amjad Javed (UAE)",4,0,38,"3","9.50","2","","v P.N.G.","Abu Dhabi","14 Apr 2017","","UAE",2017-04-14,2017,14,4,104,6,"T20I"
"227","CH Morris (SA)",8.5,1,38,"3","4.30","2","","v England","Nottingham","14 Jul 2017","","SA",2017-07-14,2017,14,7,195,6,"Test"
"228","D Olivier (SA)",12,5,38,"3","3.16","3","","v England","Manchester","4 Aug 2017","","SA",2017-08-04,2017,4,8,216,6,"Test"
"229","Mohammad Naveed (UAE)",10,0,40,"3","4.00","1","","v Ireland","ICCA Dubai","2 Mar 2017","","UAE",2017-03-02,2017,2,3,61,6,"ODI"
"230","Junaid Khan (PAK)",10,3,40,"3","4.00","1","","v Sri Lanka","Cardiff","12 Jun 2017","","PAK",2017-06-12,2017,12,6,163,6,"ODI"
"231","HH Pandya (INDIA)",10,0,40,"3","4.00","1","","v West Indies","North Sound","2 Jul 2017","","INDIA",2017-07-02,2017,2,7,183,6,"ODI"
"232","PWH de Silva (SL)",6,0,40,"3","6.66","2","","v Zimbabwe","Hambantota","8 Jul 2017","","SL",2017-07-08,2017,8,7,189,6,"ODI"
"233","JO Holder (WI)",10,1,41,"3","4.10","1","","v England","Bridgetown","9 Mar 2017","","WI",2017-03-09,2017,9,3,68,6,"ODI"
"234","SC Kuggeleijn (NZ)",9,1,41,"3","4.55","2","","v Ireland","Dublin (Malahide)","14 May 2017","","NZ",2017-05-14,2017,14,5,134,6,"ODI"
"235","Kuldeep Yadav (INDIA)",10,1,41,"3","4.10","2","","v West Indies","North Sound","30 Jun 2017","","INDIA",2017-06-30,2017,30,6,181,6,"ODI"
"236","AR McBrine (IRE)",10,0,42,"3","4.20","1","","v U.A.E.","ICCA Dubai","4 Mar 2017","","IRE",2017-03-04,2017,4,3,63,6,"ODI"
"237","JO Holder (WI)",29,11,42,"3","1.44","2","","v Pakistan","Bridgetown","30 Apr 2017","","WI",2017-04-30,2017,30,4,120,6,"Test"
"238","KA Maharaj (SA)",12,2,42,"3","3.50","4","","v England","Nottingham","14 Jul 2017","","SA",2017-07-14,2017,14,7,195,6,"Test"
"239","WD Parnell (SA)",8,0,43,"3","5.37","1","","v England","Lord's","29 May 2017","","SA",2017-05-29,2017,29,5,149,6,"ODI"
"240","Hasan Ali (PAK)",10,0,43,"3","4.30","1","","v Sri Lanka","Cardiff","12 Jun 2017","","PAK",2017-06-12,2017,12,6,163,6,"ODI"
"241","K Rabada (SA)",12,3,44,"3","3.66","2","","v Sri Lanka","Johannesburg","12 Jan 2017","","SA",2017-01-12,2017,12,1,12,6,"Test"
"242","N Wagner (NZ)",12,3,44,"3","3.66","3","","v Bangladesh","Christchurch","20 Jan 2017","","NZ",2017-01-20,2017,20,1,20,6,"Test"
"243","MJ Santner (NZ)",10,1,44,"3","4.40","2","","v Australia","Auckland","30 Jan 2017","","NZ",2017-01-30,2017,30,1,30,6,"ODI"
"244","PKD Chase (IRE)",8,0,44,"3","5.50","2","","v England","Bristol","5 May 2017","","IRE",2017-05-05,2017,5,5,125,6,"ODI"
"245","TG Southee (NZ)",9,1,45,"3","5.00","2","","v Bangladesh","Cardiff","9 Jun 2017","","NZ",2017-06-09,2017,9,6,160,6,"ODI"
"246","AG Cremer (ZIM)",10,0,46,"3","4.60","1","","v Afghanistan","Harare","16 Feb 2017","","ZIM",2017-02-16,2017,16,2,47,6,"ODI"
"247","CB Mpofu (ZIM)",9,0,46,"3","5.11","1","","v Afghanistan","Harare","26 Feb 2017","","ZIM",2017-02-26,2017,26,2,57,6,"ODI"
"248","SCJ Broad (ENG)",16.1,4,46,"3","2.84","2","","v South Africa","Manchester","4 Aug 2017","","ENG",2017-08-04,2017,4,8,216,6,"Test"
"249","Mohammad Amir (PAK)",9.2,0,47,"3","5.03","1","","v Australia","Melbourne","15 Jan 2017","","PAK",2017-01-15,2017,15,1,15,6,"ODI"
"250","KJ O'Brien (IRE)",10,0,47,"3","4.70","1","","v Afghanistan","Greater Noida","15 Mar 2017","","IRE",2017-03-15,2017,15,3,74,6,"ODI"
"251","VD Philander (SA)",14,1,48,"3","3.42","4","","v Sri Lanka","Cape Town","2 Jan 2017","","SA",2017-01-02,2017,2,1,2,6,"Test"
"252","TG Southee (NZ)",12.5,2,48,"3","3.74","3","","v Bangladesh","Christchurch","20 Jan 2017","","NZ",2017-01-20,2017,20,1,20,6,"Test"
"253","WD Parnell (SA)",10,1,48,"3","4.80","1","","v Sri Lanka","Port Elizabeth","28 Jan 2017","","SA",2017-01-28,2017,28,1,28,6,"ODI"
"254","CA Young (IRE)",9.5,0,48,"3","4.88","1","","v U.A.E.","ICCA Dubai","4 Mar 2017","","IRE",2017-03-04,2017,4,3,63,6,"ODI"
"255","HH Pandya (INDIA)",10,1,49,"3","4.90","1","","v England","Kolkata","22 Jan 2017","","INDIA",2017-01-22,2017,22,1,22,6,"ODI"
"256","MP Stoinis (AUS)",10,0,49,"3","4.90","1","","v New Zealand","Auckland","30 Jan 2017","","AUS",2017-01-30,2017,30,1,30,6,"ODI"
"257","M Morkel (SA)",11,0,50,"3","4.54","3","","v New Zealand","Wellington","16 Mar 2017","","SA",2017-03-16,2017,16,3,75,6,"Test"
"258","Kuldeep Yadav (INDIA)",9,0,50,"3","5.55","2","","v West Indies","Port of Spain","25 Jun 2017","","INDIA",2017-06-25,2017,25,6,176,6,"ODI"
"259","K Rabada (SA)",20,5,50,"3","2.50","3","","v England","Lord's","6 Jul 2017","","SA",2017-07-06,2017,6,7,187,6,"Test"
"260","KA Maharaj (SA)",13.5,2,50,"3","3.61","3","","v England","The Oval","27 Jul 2017","","SA",2017-07-27,2017,27,7,208,6,"Test"
"261","TA Boult (NZ)",17,3,52,"3","3.05","3","","v Bangladesh","Christchurch","20 Jan 2017","","NZ",2017-01-20,2017,20,1,20,6,"Test"
"262","C de Grandhomme (NZ)",23,7,52,"3","2.26","2","","v South Africa","Wellington","16 Mar 2017","","NZ",2017-03-16,2017,16,3,75,6,"Test"
"263","Dawlat Zadran (AFG)",9,0,52,"3","5.77","2","","v Ireland","Greater Noida","17 Mar 2017","","AFG",2017-03-17,2017,17,3,76,6,"ODI"
"264","JE Root (ENG)",10,0,52,"3","5.20","2","","v Ireland","Lord's","7 May 2017","","ENG",2017-05-07,2017,7,5,127,6,"ODI"
"265","SNJ O'Keefe (AUS)",17,4,53,"3","3.11","4","","v Pakistan","Sydney","3 Jan 2017","","AUS",2017-01-03,2017,3,1,3,6,"Test"
"266","TA Boult (NZ)",13.5,3,53,"3","3.83","3","","v Bangladesh","Wellington","12 Jan 2017","","NZ",2017-01-12,2017,12,1,12,6,"Test"
"267","MDK Perera (SL)",19,4,53,"3","2.78","2","","v Bangladesh","Galle","7 Mar 2017","","SL",2017-03-07,2017,7,3,66,6,"Test"
"268","AS Joseph (WI)",15,3,53,"3","3.53","3","","v Pakistan","Roseau","10 May 2017","","WI",2017-05-10,2017,10,5,130,6,"Test"
"269","UT Yadav (INDIA)",10,1,53,"3","5.30","1","","v West Indies","Kingston","6 Jul 2017","","INDIA",2017-07-06,2017,6,7,187,6,"ODI"
"270","JR Hazlewood (AUS)",8.5,0,54,"3","6.11","2","","v Pakistan","Sydney","22 Jan 2017","","AUS",2017-01-22,2017,22,1,22,6,"ODI"
"271","A Zampa (AUS)",10,0,55,"3","5.50","2","","v Pakistan","Sydney","22 Jan 2017","","AUS",2017-01-22,2017,22,1,22,6,"ODI"
"272","CJ Anderson (NZ)",9,0,55,"3","6.11","1","","v England","Cardiff","6 Jun 2017","","NZ",2017-06-06,2017,6,6,157,6,"ODI"
"273","Mustafizur Rahman (BDESH)",8.1,0,56,"3","6.85","2","","v Sri Lanka","Dambulla","25 Mar 2017","","BDESH",2017-03-25,2017,25,3,84,6,"ODI"
"274","J Mulder (IRE)",10,0,57,"3","5.70","1","","v Afghanistan","Greater Noida","22 Mar 2017","","IRE",2017-03-22,2017,22,3,81,6,"ODI"
"275","JP Faulkner (AUS)",9,0,59,"3","6.55","1","","v New Zealand","Hamilton","5 Feb 2017","","AUS",2017-02-05,2017,5,2,36,6,"ODI"
"276","MDK Perera (SL)",22,1,59,"3","2.68","4","","v Bangladesh","Colombo (PSS)","15 Mar 2017","","SL",2017-03-15,2017,15,3,74,6,"Test"
"277","N Pradeep (SL)",10,0,60,"3","6.00","2","","v Pakistan","Cardiff","12 Jun 2017","","SL",2017-06-12,2017,12,6,163,6,"ODI"
"278","MA Starc (AUS)",10,1,62,"3","6.20","1","","v New Zealand","Hamilton","5 Feb 2017","","AUS",2017-02-05,2017,5,2,36,6,"ODI"
"279","BA Stokes (ENG)",10,0,63,"3","6.30","2","","v India","Kolkata","22 Jan 2017","","ENG",2017-01-22,2017,22,1,22,6,"ODI"
"280","TA Boult (NZ)",10,0,63,"3","6.30","2","","v South Africa","Christchurch","22 Feb 2017","","NZ",2017-02-22,2017,22,2,53,6,"ODI"
"281","R Ashwin (INDIA)",34.5,10,63,"3","1.80","1","","v Australia","Pune","23 Feb 2017","","INDIA",2017-02-23,2017,23,2,54,6,"Test"
"282","LE Plunkett (ENG)",10,0,64,"3","6.40","2","","v South Africa","Southampton","27 May 2017","","ENG",2017-05-27,2017,27,5,147,6,"ODI"
"283","M Morkel (SA)",21,6,64,"3","3.04","3","","v England","Lord's","6 Jul 2017","","SA",2017-07-06,2017,6,7,187,6,"Test"
"284","SCJ Broad (ENG)",22,4,64,"3","2.90","1","","v South Africa","Nottingham","14 Jul 2017","","ENG",2017-07-14,2017,14,7,195,6,"Test"
"285","Hasan Ali (PAK)",9,0,65,"3","7.22","1","","v Australia","Brisbane","13 Jan 2017","","PAK",2017-01-13,2017,13,1,13,6,"ODI"
"286","R Ashwin (INDIA)",10,0,65,"3","6.50","2","","v England","Cuttack","19 Jan 2017","","INDIA",2017-01-19,2017,19,1,19,6,"ODI"
"287","RA Jadeja (INDIA)",33,10,65,"3","1.96","3","","v Australia","Pune","23 Feb 2017","","INDIA",2017-02-23,2017,23,2,54,6,"Test"
"288","Fareed Ahmad (AFG)",10,0,65,"3","6.50","1","","v Ireland","Greater Noida","24 Mar 2017","","AFG",2017-03-24,2017,24,3,83,6,"ODI"
"289","Mashrafe Mortaza (BDESH)",10,0,65,"3","6.50","1","","v Sri Lanka","Colombo (SSC)","1 Apr 2017","","BDESH",2017-04-01,2017,1,4,91,6,"ODI"
"290","Mohammad Amir (PAK)",26,5,65,"3","2.50","1","","v West Indies","Bridgetown","30 Apr 2017","","PAK",2017-04-30,2017,30,4,120,6,"Test"
"291","R Ashwin (INDIA)",27,4,65,"3","2.40","4","","v Sri Lanka","Galle","26 Jul 2017","","INDIA",2017-07-26,2017,26,7,207,6,"Test"
"292","JT Ball (ENG)",10,0,67,"3","6.70","2","","v India","Pune","15 Jan 2017","","ENG",2017-01-15,2017,15,1,15,6,"ODI"
"293","VD Philander (SA)",20,3,67,"3","3.35","1","","v England","Lord's","6 Jul 2017","","SA",2017-07-06,2017,6,7,187,6,"Test"
"294","RA Jadeja (INDIA)",22.3,3,67,"3","2.97","2","","v Sri Lanka","Galle","26 Jul 2017","","INDIA",2017-07-26,2017,26,7,207,6,"Test"
"295","M Morkel (SA)",28.2,7,70,"3","2.47","1","","v England","The Oval","27 Jul 2017","","SA",2017-07-27,2017,27,7,208,6,"Test"
"296","RAS Lakmal (SL)",10,0,71,"3","7.10","1","","v South Africa","Centurion","10 Feb 2017","","SL",2017-02-10,2017,10,2,41,6,"ODI"
"297","AS Joseph (WI)",31,8,71,"3","2.29","2","","v Pakistan","Kingston","21 Apr 2017","","WI",2017-04-21,2017,21,4,111,6,"Test"
"298","JO Holder (WI)",32,9,71,"3","2.21","1","","v Pakistan","Roseau","10 May 2017","","WI",2017-05-10,2017,10,5,130,6,"Test"
"299","RA Jadeja (INDIA)",24.5,4,71,"3","2.85","4","","v Sri Lanka","Galle","26 Jul 2017","","INDIA",2017-07-26,2017,26,7,207,6,"Test"
"300","HMRKB Herath (SL)",26.2,4,72,"3","2.73","2","","v Bangladesh","Galle","7 Mar 2017","","SL",2017-03-07,2017,7,3,66,6,"Test"
"301","TS Roland-Jones (ENG)",18,4,72,"3","4.00","4","","v South Africa","The Oval","27 Jul 2017","","ENG",2017-07-27,2017,27,7,208,6,"Test"
"302","HMRKB Herath (SL)",24.5,2,75,"3","3.02","4","","v Bangladesh","Colombo (PSS)","15 Mar 2017","","SL",2017-03-15,2017,15,3,74,6,"Test"
"303","Mustafizur Rahman (BDESH)",23,3,78,"3","3.39","3","","v Sri Lanka","Colombo (PSS)","15 Mar 2017","","BDESH",2017-03-15,2017,15,3,74,6,"Test"
"304","AF Milne (NZ)",10,0,79,"3","7.90","1","","v England","Cardiff","6 Jun 2017","","NZ",2017-06-06,2017,6,6,157,6,"ODI"
"305","UT Yadav (INDIA)",25,6,84,"3","3.36","2","","v Bangladesh","Hyderabad (Deccan)","9 Feb 2017","","INDIA",2017-02-09,2017,9,2,40,6,"Test"
"306","K Rabada (SA)",26,4,85,"3","3.26","1","","v England","The Oval","27 Jul 2017","","SA",2017-07-27,2017,27,7,208,6,"Test"
"307","Kamrul Islam Rabbi (BDESH)",26,4,87,"3","3.34","2","","v New Zealand","Wellington","12 Jan 2017","","BDESH",2017-01-12,2017,12,1,12,6,"Test"
"308","N Wagner (NZ)",31,8,88,"3","2.83","1","","v South Africa","Dunedin","8 Mar 2017","","NZ",2017-03-08,2017,8,3,67,6,"Test"
"309","Wahab Riaz (PAK)",28,4,89,"3","3.17","1","","v Australia","Sydney","3 Jan 2017","","PAK",2017-01-03,2017,3,1,3,6,"Test"
"310","Mehidy Hasan Miraz (BDESH)",21,2,90,"3","4.28","1","","v Sri Lanka","Colombo (PSS)","15 Mar 2017","","BDESH",2017-03-15,2017,15,3,74,6,"Test"
"311","ST Gabriel (WI)",29,6,92,"3","3.17","2","","v Pakistan","Kingston","21 Apr 2017","","WI",2017-04-21,2017,21,4,111,6,"Test"
"312","PJ Cummins (AUS)",30,8,94,"3","3.13","2","","v India","Dharamsala","25 Mar 2017","","AUS",2017-03-25,2017,25,3,84,6,"Test"
"313","MDK Perera (SL)",30,2,95,"3","3.16","3","","v Zimbabwe","Colombo (RPS)","14 Jul 2017","","SL",2017-07-14,2017,14,7,195,6,"Test"
"314","N Wagner (NZ)",22,1,102,"3","4.63","2","","v South Africa","Wellington","16 Mar 2017","","NZ",2017-03-16,2017,16,3,75,6,"Test"
"315","N Wagner (NZ)",25.2,2,104,"3","4.10","1","","v South Africa","Hamilton","25 Mar 2017","","NZ",2017-03-25,2017,25,3,84,6,"Test"
"316","UT Yadav (INDIA)",31,3,106,"3","3.41","1","","v Australia","Ranchi","16 Mar 2017","","INDIA",2017-03-16,2017,16,3,75,6,"Test"
"317","NM Lyon (AUS)",33,3,115,"3","3.48","2","","v Pakistan","Sydney","3 Jan 2017","","AUS",2017-01-03,2017,3,1,3,6,"Test"
"318","D Bishoo (WI)",41,11,116,"3","2.82","2","","v Pakistan","Bridgetown","30 Apr 2017","","WI",2017-04-30,2017,30,4,120,6,"Test"
"319","K Rabada (SA)",28,4,123,"3","4.39","1","","v England","Lord's","6 Jul 2017","","SA",2017-07-06,2017,6,7,187,6,"Test"
"320","Yasir Shah (PAK)",40,4,126,"3","3.15","2","","v West Indies","Roseau","10 May 2017","","PAK",2017-05-10,2017,10,5,130,6,"Test"
"321","CBRLS Kumara (SL)",25.1,3,131,"3","5.20","1","","v India","Galle","26 Jul 2017","","SL",2017-07-26,2017,26,7,207,6,"Test"
"322","Taijul Islam (BDESH)",47,6,156,"3","3.31","1","","v India","Hyderabad (Deccan)","9 Feb 2017","","BDESH",2017-02-09,2017,9,2,40,6,"Test"
"323","SNJ O'Keefe (AUS)",77,17,199,"3","2.58","2","","v India","Ranchi","16 Mar 2017","","AUS",2017-03-16,2017,16,3,75,6,"Test"
"324","CH Morris (SA)",6,3,7,"2","1.16","4","","v England","Nottingham","14 Jul 2017","","SA",2017-07-14,2017,14,7,195,6,"Test"
"325","TA Boult (NZ)",4,0,8,"2","2.00","1","","v South Africa","Auckland","17 Feb 2017","","NZ",2017-02-17,2017,17,2,48,6,"T20I"
"326","Rashid Khan (AFG)",2,0,8,"2","4.00","2","","v Zimbabwe","Harare","26 Feb 2017","","AFG",2017-02-26,2017,26,2,57,6,"ODI"
"327","JE Root (ENG)",5,0,9,"2","1.80","1","","v Ireland","Bristol","5 May 2017","","ENG",2017-05-05,2017,5,5,125,6,"ODI"
"328","AF Milne (NZ)",2,0,9,"2","4.50","2","","v Australia","Birmingham","2 Jun 2017","","NZ",2017-06-02,2017,2,6,153,6,"ODI"
"329","B Kumar (INDIA)",5,1,9,"2","1.80","2","","v West Indies","Port of Spain","25 Jun 2017","","INDIA",2017-06-25,2017,25,6,176,6,"ODI"
"330","KMDN Kulasekara (SL)",3,0,10,"2","3.33","1","","v South Africa","Johannesburg","22 Jan 2017","","SL",2017-01-22,2017,22,1,22,6,"T20I"
"331","CH Morris (SA)",3,1,10,"2","3.33","2","","v New Zealand","Auckland","17 Feb 2017","","SA",2017-02-17,2017,17,2,48,6,"T20I"
"332","Mohammad Nabi (AFG)",5.2,1,11,"2","2.06","2","","v Zimbabwe","Harare","24 Feb 2017","","AFG",2017-02-24,2017,24,2,55,6,"ODI"
"333","Khawar Ali (OMAN)",3.3,0,12,"2","3.42","1","","v Hong Kong","Abu Dhabi","16 Jan 2017","","OMAN",2017-01-16,2017,16,1,16,6,"T20I"
"334","Rashid Khan (AFG)",4,0,12,"2","3.00","1","","v U.A.E.","Abu Dhabi","16 Jan 2017","","AFG",2017-01-16,2017,16,1,16,6,"T20I"
